Содержание серы,Текущее время моделирования
200,0:0:0
200,0:0:10
200,0:0:21
200,0:0:32
200,0:0:43
200,0:0:54
200,0:1:5
200,0:1:16
200,0:1:27
200,0:1:38
200,0:1:49
200,0:2:0
200,0:2:10
200,0:2:21
200,0:2:32
200,0:2:43
201,0:2:54
201.183,0:3:5
201.365,0:3:16
201.547,0:3:26
201.729,0:3:37
202.093,0:3:48
202.274,0:3:59
202.456,0:4:10
202.638,0:4:20
202.819,0:4:31
203.001,0:4:42
203.183,0:4:53
203.364,0:5:3
203.364,0:5:14
203.545,0:5:25
203.726,0:5:36
203.907,0:5:46
204.088,0:5:57
204.268,0:6:8
204.448,0:6:19
204.628,0:6:30
204.808,0:6:41
204.988,0:6:52
205.167,0:7:2
205.346,0:7:13
205.526,0:7:24
205.705,0:7:35
205.884,0:7:46
206.064,0:7:57
206.243,0:8:7
206.423,0:8:18
206.603,0:8:29
206.783,0:8:40
206.963,0:8:51
207.144,0:9:2
207.325,0:9:13
207.505,0:9:23
207.686,0:9:34
207.867,0:9:45
208.048,0:9:56
208.228,0:10:7
208.409,0:10:18
208.59,0:10:29
208.771,0:10:39
208.952,0:10:50
209.133,0:11:1
209.314,0:11:12
209.495,0:11:23
209.676,0:11:34
209.857,0:11:45
210.038,0:11:55
210.219,0:12:6
210.4,0:12:17
210.581,0:12:28
210.762,0:12:39
210.943,0:12:50
211.124,0:13:1
211.304,0:13:12
211.485,0:13:22
211.666,0:13:33
211.847,0:13:44
212.028,0:13:55
212.209,0:14:6
212.39,0:14:17
212.39,0:14:28
212.571,0:14:39
212.752,0:14:49
212.933,0:15:0
212.933,0:15:12
213.114,0:15:23
213.114,0:15:34
213.295,0:15:45
213.295,0:15:56
213.476,0:16:8
213.657,0:16:19
213.657,0:16:31
213.838,0:16:42
214.019,0:16:54
214.2,0:17:5
214.2,0:17:17
214.381,0:17:28
214.562,0:17:40
214.743,0:17:52
214.924,0:18:3
215.105,0:18:15
215.286,0:18:27
215.468,0:18:38
215.833,0:18:50
216.017,0:19:2
216.201,0:19:13
216.386,0:19:25
216.572,0:19:36
216.759,0:19:48
216.948,0:20:0
217.138,0:20:11
217.519,0:20:22
217.711,0:20:34
217.903,0:20:45
218.096,0:20:57
218.483,0:21:8
218.677,0:21:19
218.871,0:21:31
219.066,0:21:42
219.261,0:21:53
219.455,0:22:4
219.65,0:22:16
219.843,0:22:27
220,0:22:38
220,0:22:49
220,0:23:0
220,0:23:11
220,0:23:23
220,0:23:34
220,0:23:45
220,0:23:56
220,0:24:7
220,0:24:18
220,0:24:30
220,0:24:41
220,0:24:52
220,0:25:3
220,0:25:15
220,0:25:26
220,0:25:37
220,0:25:49
220,0:26:0
220,0:26:12
220,0:26:23
220,0:26:35
220,0:26:47
220,0:26:59
220,0:27:11
220,0:27:23
220,0:27:35
220,0:27:48
220,0:28:0
220,0:28:12
220,0:28:24
220,0:28:37
220,0:28:49
220,0:29:1
220,0:29:13
220,0:29:26
220,0:29:38
220,0:29:50
220,0:30:2
220,0:30:14
220,0:30:27
220,0:30:39
220,0:30:51
220,0:31:4
220,0:31:16
220,0:31:28
220,0:31:41
220,0:31:53
220,0:32:6
220,0:32:18
220,0:32:31
220,0:32:43
220,0:32:56
220,0:33:8
220,0:33:21
220,0:33:33
220,0:33:46
220,0:33:58
220,0:34:11
220,0:34:23
220,0:34:36
220,0:34:48
220,0:35:1
220,0:35:13
220,0:35:25
220,0:35:38
220,0:35:50
220,0:36:3
220,0:36:15
220,0:36:28
220,0:36:40
220,0:36:53
220,0:37:5
220,0:37:18
220,0:37:31
220,0:37:44
220,0:37:57
220,0:38:11
220,0:38:24
220,0:38:38
220,0:38:52
220,0:39:6
220,0:39:19
220,0:39:33
220,0:39:47
220,0:40:1
220,0:40:14
220,0:40:28
220,0:40:42
220,0:40:55
220,0:41:9
220,0:41:22
220,0:41:36
220,0:41:49
220,0:42:2
220,0:42:15
220,0:42:29
220,0:42:42
220,0:42:54
220,0:43:7
220,0:43:20
220,0:43:33
220,0:43:45
220,0:43:58
220,0:44:11
220,0:44:23
220,0:44:36
220,0:44:48
220,0:45:0
220,0:45:13
220,0:45:25
220,0:45:37
220,0:45:50
220,0:46:2
220,0:46:15
220,0:46:27
220,0:46:39
220,0:46:51
220,0:47:4
220,0:47:16
220,0:47:28
220,0:47:41
220,0:47:53
220,0:48:5
220,0:48:18
220,0:48:30
220,0:48:43
220,0:48:56
220,0:49:8
220,0:49:21
220,0:49:34
220,0:49:46
220,0:49:59
220,0:50:12
